x,y,path
50,50,right
150,50,straight
250,50,straight
350,50,straight
450,50,left
450,150,straight
450,250,straight
450,350,straight
450,450,straight
450,550,straight
450,650,straight
450,750,straight
450,850,left
350,850,reverse
450,850,left
450,950,straight
450,1050,straight
450,1150,straight
450,1250,left
350,1250,right
350,1350,straight
350,1450,straight
350,1550,straight
350,1650,left
250,1650,straight
150,1650,right
150,1750,straight
150,1850,straight
150,1950,right
250,1950,straight
350,1950,straight
450,1950,straight
550,1950,straight
650,1950,straight
750,1950,straight
850,1950,straight
950,1950,straight
1050,1950,straight
1150,1950,straight
1250,1950,straight
1350,1950,straight
1450,1950,straight
1550,1950,straight
1650,1950,straight
1750,1950,straight
1850,1950,straight
1950,1950,straight
2050,1950,straight
2150,1950,straight
2250,1950,straight
2350,1950,straight
2450,1950,straight
2550,1950,straight
2650,1950,straight
2750,1950,straight
2850,1950,straight
